real_label,pre_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15
0,15,0.16098104,0.08043693,0.087439686,0.019032944,0.021860953,0.056296587,0.05383313,0.005695554,0.003898697,0.14188823,0.103501126,0.043729354,0.010036614,0.019899625,0.00746889,0.1840006,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0.2859144,0.1339918,0.10598044,3.82E-05,0.02286494,0.3835745,0.00144188,0.00084296,0.000187844,0.038309857,0.006962803,0.002473033,3.79E-06,0.012068173,0.003213756,0.002131589,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.22221345,0.4075361,0.084054105,0.000520145,0.018112646,0.17707407,0.000306394,0.000687507,0.000329253,0.05822598,0.008174991,0.001641563,0.000101007,0.015964193,0.003933515,0.001125112,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.9047512,0.004022017,0.015382538,2.83E-07,0.000745651,0.036573645,0.000610416,0.002367253,0.001251434,0.02313989,0.001896879,0.001619358,6.69E-05,0.002052825,0.001900089,0.003619543,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.4220944,0.001310626,0.054098047,8.82E-06,0.000755698,0.1292925,0.039526496,0.007587923,0.002924314,0.023923112,0.1609784,0.040303465,8.94E-07,0.013626033,0.000770223,0.102799065,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.18731761,0.6042974,0.004326444,2.56E-06,0.000711629,0.009142291,0.002385823,0.007627522,0.01707864,0.1265676,0.003963283,0.01366367,0.000448407,0.007989813,0.003533249,0.010943992,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0.30781752,0.002300217,0.07290185,2.50E-05,0.003600291,0.47397345,0.020332564,0.007081911,0.000963235,0.040959515,0.012662594,0.003355871,7.06E-06,0.033142384,0.001924801,0.018951643,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.6428247,0.002817185,0.11269182,2.45E-08,0.006037572,0.09453565,0.008743524,0.001360014,0.000414294,0.06314949,0.03447972,0.010649676,9.19E-06,0.00475357,0.003268011,0.014265538,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0.13714777,0.001844425,0.023163462,1.70E-08,0.000173215,0.831205,5.72E-05,0.000378556,5.88E-05,0.00090704,0.002718626,0.00017075,1.56E-06,0.001868747,0.000166696,0.000138188,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.42560723,0.004933784,0.0621131,7.00E-07,0.01595045,0.20370981,0.010863421,0.03905895,0.001694845,0.11528744,0.051042847,0.035498146,3.05E-06,0.01524101,0.004978648,0.014016545,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
